Offence/Defence,攻撃/防御
Impale + Hit DPS,インペイル + ヒットDPS
Life regen,ライフ自動回復
Life leech,ライフリーチ
Recoverable ES,回復可能ES
Energy Shield regen,エナジーシールド自動回復
Energy Shield leech,エナジーシールドリーチ
Mana regen,マナ自動回復
Mana leech,マナリーチ
Total Attributes,合計能力値
Melee avoid chance,近接回避率
Spell avoid chance,スペル回避率
Projectile avoid chance,投射物回避率
Eff. Maximum Hit Taken,実効最大被ダメージ
Taken Phys dmg,受ける物理ダメージ
Taken Lightning dmg,受ける雷ダメージ
Taken Cold dmg,受ける冷気ダメージ
Taken Fire dmg,受ける火ダメージ
Taken Chaos dmg,受ける混沌ダメージ
Crit Chance,クリティカル率
Crit Multiplier,クリティカル倍率
Move speed,移動速度
Spell Suppression Chance,スペル抑制率
Attack/Cast Speed,攻撃/キャスト速度
Freeze Chance,凍結確率
Ignite Chance,発火確率
