Item set:,アイテムセット:
Manage...,管理...
Trade for these items,これらのアイテムを検索
Contains searches from the official trading site to help find,公式トレードサイト検索を含み、見つけやすくします
similar or better items for this build,このビルド向けの類似またはより良いアイテム
Passive tree:,パッシブツリー:
Equipped items:,装備中アイテム:
Weapon Set:,武器セット:
Import from:,インポート元:
Uniques,ユニークs
Rare Templates,レアテンプレート
Craft item...,Craft アイテム...
Create custom...,カスタム作成...
"Double-click an item from one of the lists,",リストのアイテムをダブルクリックすると、
or copy and paste an item from in game,またはゲーム内からアイテムをコピー＆ペースト
(hover over the item and Ctrl+C) to view or edit,（アイテムにカーソルを合わせて Ctrl+C）で表示または編集
the item and add it to your build. You can ,アイテムをビルドに追加します。また、
also clone an item within Path of Building by ,また、Path of Building 内でアイテムを複製するには 
copying and pasting it with Ctrl+C and Ctrl+V.,Ctrl+C と Ctrl+V でコピー＆ペーストできます。
"You can Control + Click an item to equip it, or ",Ctrl + クリックでアイテムを装備できます。または 
drag it onto the slot.  This will also add it to ,それをスロットへドラッグしてください。これにより、次にも追加されます 
your build if it's from the unique/template list.,ユニーク／テンプレート一覧のものであれば、ビルドに追加されます。
"If there's 2 slots an item can go in, ",アイテムを装備できるスロットが2つある場合、
holding Shift will put it in the second.,Shift を押しながら行うと、2つ目に配置されます。
Add to build,ビルドに追加
Edit...,編集...
Apply Enchantment...,エンチャント適用...
Apply Enchantment 2...,エンチャント適用2...
Anoint...,アノイント...
Anoint 2...,アノイント2...
Anoint 3...,アノイント3...
Anoint 4...,アノイント4...
Corrupt...,コラプト...
Add Implicit...,暗黙Modを追加...
Catalyst,カタリスト
Abrasive (Attack),品質（アタック）
Accelerating (Speed),品質（スピード）
Fertile (Life & Mana),Fertile (ライフ & マナ)
Imbued (Caster),注入済み（キャスター）
Intrinsic (Attribute),品質 (能力値)
Noxious (Physical & Chaos),品質 (物理 & 混沌)
Prismatic (Resistance),品質 (耐性)
Tempering (Defense),品質（防御）
Turbulent (Elemental),Turbulent (属性)
Unstable (Critical),Unstable (クリティカル)
Quality,品質
Added Passives:,追加パッシブ:
Affix,接頭/接尾
Level,レベル
Tags,タグ
Add modifier...,MOD追加...
Adding this mod will give: ,このModを追加すると: 
New Item,新規アイテム
Manage Item Sets,アイテムセットを管理
The item is invalid.,このアイテムは無効です。
Check that the item's title and base name are in the correct format.,アイテム名とベース名の形式が正しいか確認してください。
"For Rare and Unique items, the first 2 lines must be the title and base name. E.g.:",レアおよびユニークアイテムの場合、最初の2行は名称とベース名である必要があります。例:
"For Normal and Magic items, the base name must be somewhere in the first line. E.g.:",ノーマルおよびマジックアイテムの場合、ベース名は1行目のどこかに含まれている必要があります。例:
Craft Item,アイテムクラフト
Edit Item Text,アイテムテキスト編集
Create Custom Item from Text,テキストからカスタムアイテム作成
Skill:,スキル:
All Skills:,全スキル:
