1 Projectile,1 Projectile
All Projectiles,All Projectiles
1 Stage,1 Stage
6 Stages,6 Stages
Release at 6 Stages,Release at 6 Stages
0 Blades,0 Blades
5 Blades,5 Blades
10 Blades,10 Blades
1 explosion,1 explosion
4 explosions,4 explosions
Corpse Explosion,Corpse Explosion
Explosion (1 fuse),Explosion (1 fuse)
Explosion (5 fuses),Explosion (5 fuses)
Arrow,Arrow
Melee hit,Melee hit
Icy blades,Icy blades
Cone,Cone
One slash,One slash
Both slashes,Both slashes
Projectiles,Projectiles
Beams,Beams
Projectile Weakness,Projectile Weakness
No stages,No stages
4 stages,4 stages
8 stages,8 stages
No Stages,No Stages
4 Stages,4 Stages
8 Stages,8 Stages
Release at 5 Stages,Release at 5 Stages
Thorn Arrows,Thorn Arrows
Shrapnel Shot,Shrapnel Shot
Shield,エナジーシールド
Shards,シャード
Outgoing Projectile,Outgoing Projectile
Returning Projectile,Returning Projectile
Fire hit,Fire hit
Fire explosion,Fire explosion
Lightning hit,Lightning hit
Lightning bolt,Lightning bolt
Cold hit,Cold hit
Icy wave,Icy wave
Arctic Breath,Arctic Breath
Self Explosion,Self Explosion
Cast on Player,Cast on Player
Cast on Skeleton,Cast on Skeleton
Release at 10 Stages,Release at 10 Stages
Release at 20 Stages,Release at 20 Stages
Explosion,Explosion
10 Stages,10 Stages
"First Form, 1 Projectile","First Form, 1 Projectile"
"Second Form, 1 Projectile","Second Form, 1 Projectile"
"First Form, All Projectiles","First Form, All Projectiles"
"Second Form, All Projectiles","Second Form, All Projectiles"
Half stages,Half stages
Maximum stages,Maximum stages
Release,解放
Explosions,Explosions
Magma Orb,Magma Orb
Initial hit,Initial hit
Ring,指輪
Idle,Idle
1 Stack,1 Stack
5 Stacks,5 Stacks
10 Stacks,10 Stacks
15 Stacks,15 Stacks
Initial impact,Initial impact
Aftershock,Aftershock
First Hit,First Hit
Second Hit,Second Hit
Third Hit,Third Hit
Melee Hit,Melee Hit
Magma Balls,Magma Balls
Initial effect,Initial effect
Maximum effect,Maximum effect
Beams - 1 Stack,Beams - 1 Stack
Beams - 3 Stacks,Beams - 3 Stacks
Primary wave,Primary wave
Shockwaves,衝撃波
Cascade,Cascade
Chaos Aura,Chaos Aura
Magma Ball,Magma Ball
Flame Wave,Flame Wave
Storm Orb,Storm Orb
Lightning Projectile,Lightning Projectile
Charge,チャージ
Cold Projectile,Cold Projectile
Fire Projectile,Fire Projectile
Roll,Roll
Physical Projectile,Physical Projectile
Tail Spike,Tail Spike
Crusade Slam,Crusade Slam
Chaos Projectile,Chaos Projectile
Combo Attack,Combo Attack
Caustic Cloud,Caustic Cloud
Mjolner,Mjolner
Blessing,祝福する
Convert to fire,Convert to fire
Convert to cold,Convert to cold
Convert to lightning,Convert to lightning
Summon Volatile Anomaly,Summon Volatile Anomaly
Blood Projectile,Blood Projectile
Consume Corpse,Consume Corpse
Sandstorm,Sandstorm
Delayed Blast,Delayed Blast
Whirling Charge,Whirling Charge
Ranged Attack,Ranged Attack
Chaos Ball,Chaos Ball
Lightning Ball,Lightning Ball
Fire Roll,Fire Roll
Blue Flame,Blue Flame
Chaos Spikes,Chaos Spikes
Spit,Spit
Scorching Ray Totem,Scorching Ray Totem
Mass Frenzy,Mass Frenzy
Mass Power,Mass Power
Throw Fire,Throw Fire
Caustic Bomb,Caustic Bomb
Fire Bomb,Fire Bomb
Lesser Multi Fireball,Lesser Multi Fireball
Lesser Multi Ice Spear,Lesser Multi Ice Spear
Lightning Thorns,雷のトゲ
Multi Fireball,Multi Fireball
Multi Ice Spear,Multi Ice Spear
Proximity Shield,周辺シールド
Unrighteous Fire,Unrighteous Fire
Split Fireball,Split Fireball
Split Ice Spear,Split Ice Spear
Chaos Fireball,Chaos Fireball
Suicide Explosion,Suicide Explosion
Screech,Screech
Wave,Wave
Spine Attack,Spine Attack
Flame Vortex,Flame Vortex
Beam,Beam
Tar Projectile,Tar Projectile
Double Slash,Double Slash
Physical Mortar,Physical Mortar
Curse On Hit,Curse On Hit
Deathmark,Deathmark
Ranged Attack Totem,Ranged Attack Totem
