Golden Mantle,黄金の外套
Shabby Jerkin,ぼろぼろの胴着
Glorious Leather,栄光の革鎧
Coronal Leather,王冠の革鎧
Cutthroat's Garb,人殺しの服
Sharkskin Tunic,鮫皮のチュニック
Destiny Leather,運命の革鎧
Exquisite Leather,極上の革鎧
Zodiac Leather,ゾディアックレザー
Assassin's Garb,暗殺者の服
Strapped Leather,ストラップ付き皮鎧
Buckskin Tunic,鹿皮のチュニック
Wild Leather,野生の革鎧
Full Leather,総革の革鎧
Sun Leather,太陽の革鎧
Thief's Garb,盗賊の服
Eelskin Tunic,鰻皮のチュニック
Frontier Leather,開拓者の革鎧
Padded Vest,パッド入りベスト
Crimson Raiment,真紅の装束
Lacquered Garb,染色された服
Crypt Armour,クリプトアーマー
Sentinel Jacket,センチネルジャケット
Varnished Coat,バーニッシュコート
Blood Raiment,血色の装束
Sadist Garb,サディストの服
Carnal Armour,カーナルアーマー
Oiled Vest,オイルベスト
Padded Jacket,パッド入りジャケット
Oiled Coat,オイルコート
Scarlet Raiment,緋色の装束
Waxed Garb,ワックスされた服
Bone Armour,ボーンアーマー
Quilted Jacket,キルトジャケット
Sleek Coat,お洒落なコート
Simple Robe,シンプルローブ
Conjurer's Vestment,魔法使いの法衣
Spidersilk Robe,蜘蛛糸のローブ
Destroyer Regalia,破壊者のレガリア
Savant's Robe,学識者のローブ
Necromancer Silks,ネクロマンサーの絹物
Occultist's Vestment,オカルティストの法衣
Widowsilk Robe,ウィドウシルクローブ
Vaal Regalia,ヴァールレガリア
Silken Vest,絹のベスト
Scholar's Robe,学者のローブ
Silken Garb,シルクの服
Mage's Vestment,魔導士の法衣
Silk Robe,絹のローブ
Cabalist Regalia,カバリストレガリア
Sage's Robe,賢者のローブ
Silken Wrap,シルクの上着
Plate Vest,プレートベスト
Sun Plate,太陽のプレート
Colosseum Plate,コロシアムプレート
Majestic Plate,荘厳なプレート
Golden Plate,黄金のプレート
Crusader Plate,聖戦士のプレート
Astral Plate,アストラルプレート
Gladiator Plate,グラディエータープレート
Glorious Plate,栄光のプレート
Chestplate,胸当て
Copper Plate,銅のプレート
War Plate,戦のプレート
Full Plate,フルプレート
Arena Plate,闘技場のプレート
Lordly Plate,誇り高きプレート
Bronze Plate,青銅のプレート
Battle Plate,バトルプレート
Scale Vest,鱗のベスト
Full Wyrmscale,ワームスケールのフルアーマー
Commander's Brigandine,指揮者のブリガンダイン
Battle Lamellar,バトルラメラー
Dragonscale Doublet,龍鱗のダブレット
Desert Brigandine,砂漠のブリガンダイン
Full Dragonscale,龍鱗のフルアーマー
General's Brigandine,将軍のブリガンダイン
Triumphant Lamellar,勝利のラメラー
Light Brigandine,ライトブリガンダイン
Scale Doublet,鱗のダブレット
Infantry Brigandine,歩兵のブリガンダイン
Full Scale Armour,フルスケールアーマー
Soldier's Brigandine,兵士のブリガンダイン
Field Lamellar,フィールドラメラー
Wyrmscale Doublet,ワームスケールダブレット
Hussar Brigandine,騎兵のブリガンダイン
Sacrificial Garb,生贄の服
Chainmail Vest,チェーンメイルベスト
Ornate Ringmail,華美なリングメイル
Chain Hauberk,チェーンホバーク
Devout Chainmail,信者のチェーンメイル
Loricated Ringmail,強化リングメイル
Conquest Chainmail,征服のチェーンメイル
Elegant Ringmail,上品なリングメイル
Saint's Hauberk,聖者のホバーク
Saintly Chainmail,聖人のチェーンメイル
Chainmail Tunic,チェーンメイルチュニック
Ringmail Coat,リングメイルコート
Chainmail Doublet,チェーンメイルダブレット
Full Ringmail,フルリングメイル
Full Chainmail,フルチェーンメイル
Holy Chainmail,聖なるチェーンメイル
Latticed Ringmail,格子状のリングメイル
Crusader Chainmail,聖戦士のチェーンメイル
Two-Toned Boots,ツートンカラーブーツ
Golden Caligae,黄金のカリガ
Rawhide Boots,生皮のブーツ
Goathide Boots,山羊皮のブーツ
Deerskin Boots,鹿皮のブーツ
Nubuck Boots,ヌバックブーツ
Eelskin Boots,鰻皮のブーツ
Sharkskin Boots,鮫皮のブーツ
Shagreen Boots,粒起皮のブーツ
Stealth Boots,ステルスブーツ
Slink Boots,スリンクブーツ
Wrapped Boots,覆われたブーツ
Strapped Boots,ストラップブーツ
Clasped Boots,留め具付きブーツ
Shackled Boots,枷のブーツ
Trapper Boots,罠猟師のブーツ
Ambush Boots,伏兵のブーツ
Carnal Boots,カーナルブーツ
Assassin's Boots,暗殺者のブーツ
Murder Boots,殺人者のブーツ
Wool Shoes,羊毛の靴
Velvet Slippers,ビロードの履物
Silk Slippers,シルクの履物
Scholar Boots,学者のブーツ
Satin Slippers,サテンの履物
Samite Slippers,絹の履物
Conjurer Boots,魔法使いのブーツ
Arcanist Slippers,秘術師の履物
Sorcerer Boots,魔術師のブーツ
Iron Greaves,鉄のグリーヴ
Steel Greaves,鋼のグリーヴ
Plated Greaves,プレートグリーヴ
Reinforced Greaves,強化されたグリーヴ
Antique Greaves,骨董品のグリーヴ
Ancient Greaves,古代のグリーヴ
Goliath Greaves,ゴライアスグリーヴ
Vaal Greaves,ヴァールのグリーヴ
Titan Greaves,タイタングリーヴ
Leatherscale Boots,革鱗のブーツ
Ironscale Boots,鉄鱗のブーツ
Bronzescale Boots,青銅鱗のブーツ
Steelscale Boots,鋼鱗のブーツ
Serpentscale Boots,蛇皮のブーツ
Wyrmscale Boots,大蛇鱗のブーツ
Hydrascale Boots,ヒュドラ鱗のブーツ
Dragonscale Boots,竜鱗のブーツ
Chain Boots,チェーンブーツ
Ringmail Boots,リングメイルブーツ
Mesh Boots,メッシュブーツ
Riveted Boots,リベットブーツ
Zealot Boots,狂信者のブーツ
Soldier Boots,兵士のブーツ
Legion Boots,軍隊のブーツ
Crusader Boots,聖戦士のブーツ
Gripped Gloves,グリップ付きグローブ
Fingerless Silk Gloves,指無しの絹のグローブ
Spiked Gloves,棘のグローブ
Golden Bracers,黄金のブレーサー
Rawhide Gloves,生皮のグローブ
Goathide Gloves,山羊皮のグローブ
Deerskin Gloves,鹿皮のグローブ
Nubuck Gloves,ヌバックのグローブ
Eelskin Gloves,鰻皮のグローブ
Sharkskin Gloves,鮫皮のグローブ
Shagreen Gloves,粒起皮のグローブ
Stealth Gloves,ステルスグローブ
Slink Gloves,スリンクグローブ
Wrapped Mitts,覆われたミット
Strapped Mitts,ストラップミット
Clasped Mitts,留め具付きミット
Trapper Mitts,猟師のミット
Ambush Mitts,伏兵のミット
Carnal Mitts,カーナルミット
Assassin's Mitts,暗殺者のミット
Murder Mitts,殺人者のミット
Wool Gloves,羊毛のグローブ
Velvet Gloves,ビロードのグローブ
Silk Gloves,絹のグローブ
Embroidered Gloves,刺繍入りの手袋
Satin Gloves,繻子のグローブ
Samite Gloves,絹織物のグローブ
Conjurer Gloves,魔法使いのグローブ
Arcanist Gloves,秘術師のグローブ
Sorcerer Gloves,魔術師のグローブ
Iron Gauntlets,鉄のガントレット
Plated Gauntlets,プレートガントレット
Bronze Gauntlets,青銅のガントレット
Steel Gauntlets,鋼のガントレット
Antique Gauntlets,骨董品のガントレット
Ancient Gauntlets,古代のガントレット
Goliath Gauntlets,ゴライアスガントレット
Vaal Gauntlets,ヴァールガントレット
Titan Gauntlets,タイタンガントレット
Fishscale Gauntlets,魚鱗のガントレット
Ironscale Gauntlets,鉄鱗のガントレット
Bronzescale Gauntlets,青銅鱗のガントレット
Steelscale Gauntlets,鋼鱗のガントレット
Serpentscale Gauntlets,蛇鱗のガントレット
Wyrmscale Gauntlets,大蛇鱗のガントレット
Hydrascale Gauntlets,ヒュドラ鱗のガントレット
Dragonscale Gauntlets,龍鱗のガントレット
Chain Gloves,チェーングローブ
Ringmail Gloves,リングメイルグローブ
Mesh Gloves,メッシュグローブ
Riveted Gloves,リベットグローブ
Zealot Gloves,狂信者のグローブ
Soldier Gloves,兵士のグローブ
Legion Gloves,軍隊のグローブ
Crusader Gloves,聖戦士のグローブ
Bone Helmet,骨のヘルメット
Golden Visage,黄金の顔飾り
Leather Cap,皮の帽子
Lion Pelt,ライオンの毛皮
Tricorne,三角帽
Leather Hood,皮のフード
Wolf Pelt,狼の毛皮
Hunter Hood,狩人のフード
Noble Tricorne,高貴な三角帽
Ursine Pelt,熊の毛皮
Silken Hood,シルクのフード
Sinner Tricorne,罪人の三角帽
Scare Mask,恐怖の仮面
Vaal Mask,ヴァールの仮面
Deicide Mask,神殺しの仮面
Plague Mask,疫病の仮面
Iron Mask,鉄の仮面
Festival Mask,祭典の仮面
Golden Mask,黄金の仮面
Raven Mask,大鴉の仮面
