Small Hybrid Flask,小さいハイブリッドフラスコ
Medium Hybrid Flask,普通のハイブリッドフラスコ
Large Hybrid Flask,大きいハイブリッドフラスコ
Colossal Hybrid Flask,絶大なハイブリッドフラスコ
Sacred Hybrid Flask,聖なるハイブリッドフラスコ
Hallowed Hybrid Flask,神聖なハイブリッドフラスコ
Small Life Flask,小さいライフフラスコ
Sanctified Life Flask,聖別されたライフフラスコ
Divine Life Flask,神々しいライフフラスコ
Eternal Life Flask,永遠のライフフラスコ
Large Life Flask,大きいライフフラスコ
Greater Life Flask,特大のライフフラスコ
Sacred Life Flask,聖なるライフフラスコ
Hallowed Life Flask,神聖なライフフラスコ
Lesser Life Flask,小型のライフフラスコ
Medium Life Flask,普通のライフフラスコ
Grand Life Flask,超大のライフフラスコ
Giant Life Flask,巨大なライフフラスコ
Colossal Life Flask,絶大なライフフラスコ
Gargantuan Life Flask,膨大なライフフラスコ
Transcendent Life Flask,桁外れのライフフラスコ
Ultimate Life Flask,究極のライフフラスコ
Small Mana Flask,小さいマナフラスコ
Sanctified Mana Flask,聖別されたマナフラスコ
Divine Mana Flask,神々しいマナフラスコ
Eternal Mana Flask,永遠のマナフラスコ
Large Mana Flask,大きいマナフラスコ
Sacred Mana Flask,聖なるマナフラスコ
Hallowed Mana Flask,神聖なマナフラスコ
Lesser Mana Flask,小型のマナフラスコ
Medium Mana Flask,普通のマナフラスコ
Greater Mana Flask,特大のマナフラスコ
Grand Mana Flask,超大のマナフラスコ
Giant Mana Flask,巨大なマナフラスコ
Colossal Mana Flask,絶大なマナフラスコ
Gargantuan Mana Flask,膨大なマナフラスコ
Transcendent Mana Flask,桁外れのマナフラスコ
Ultimate Mana Flask,究極のマナフラスコ
Diamond Flask,ダイヤモンドフラスコ
Basalt Flask,玄武岩のフラスコ
Aquamarine Flask,アクアマリンフラスコ
Stibnite Flask,スティブナイトフラスコ
Sulphur Flask,硫黄のフラスコ
Silver Flask,シルバーフラスコ
Bismuth Flask,ビスマスフラスコ
Ruby Flask,ルビーフラスコ
Sapphire Flask,サファイアフラスコ
Topaz Flask,トパーズフラスコ
Granite Flask,花崗岩のフラスコ
Quicksilver Flask,水銀のフラスコ
Amethyst Flask,アメジストフラスコ
Quartz Flask,石英のフラスコ
Jade Flask,翡翠のフラスコ
Gold Flask,ゴールドフラスコ
Thawing Charm,解凍のチャーム
Staunching Charm,止血のチャーム
Antidote Charm,解毒のチャーム
Dousing Charm,消火のチャーム
Grounding Charm,接地のチャーム
Stone Charm,石のチャーム
Silver Charm,銀のチャーム
Ruby Charm,ルビーチャーム
Sapphire Charm,サファイアチャーム
Topaz Charm,トパーズチャーム
Amethyst Charm,アメジストチャーム
Golden Charm,黄金のチャーム
Cleansing Charm,浄化のチャーム
