Nailed Fist,釘打ちの鉄拳
Gouger,ガウジャー
Tiger's Paw,虎の前足
Gut Ripper,ガットリッパー
Prehistoric Claw,太古の鉤爪
Noble Claw,貴族の鉤爪
Eagle Claw,イーグルクロー
Great White Claw,頬白鮫の鉤爪
Throat Stabber,スロートスタバー
Hellion's Paw,ヘリオンの前足
Eye Gouger,目潰しの鉤爪
Sharktooth Claw,鮫歯の鉤爪
Vaal Claw,ヴァールクロー
Imperial Claw,帝国の鉤爪
Terror Claw,恐怖の鉤爪
Awl,千枚通し
Cat's Paw,猫手
Blinder,ブラインダー
Timeworn Claw,傷んだ鉤爪
Sparkling Claw,きらめきの鉤爪
Fright Claw,畏怖の鉤爪
Thresher Claw,鮫の鉤爪
Double Claw,ダブルクロー
Twin Claw,ツインクロー
Gemini Claw,ジェミニクロー
Glass Shank,柄付きのガラス
Butcher Knife,肉屋のナイフ
Poignard,ポニャードダガー
Boot Blade,ブーツブレード
Golden Kris,ゴールデンクリス
Royal Skean,ロイヤルスキーン
Fiend Dagger,フィーンドダガー
Gutting Knife,解体のナイフ
Slaughter Knife,屠殺のナイフ
Ambusher,アンブッシャー
Ezomyte Dagger,エゾマイトダガー
Skinning Knife,剥ぎ取りナイフ
Platinum Kris,プラチナムクリス
Imperial Skean,インペリアルスキーン
Demon Dagger,デモンダガー
Carving Knife,肉切りナイフ
Stiletto,スティレット
Boot Knife,ブーツナイフ
Copper Kris,銅のクリス
Skean,スキーン
Imp Dagger,インプダガー
Flaying Knife,皮剝ぎナイフ
Prong Dagger,三叉ダガー
Trisula,トリシュラ
Sai,釵
Rusted Hatchet,錆びたハチェット
Tomahawk,トマホーク
Wrist Chopper,リストチョッパー
War Axe,戦斧
Chest Splitter,チェストスプリッター
Ceremonial Axe,儀式用斧
Wraith Axe,死霊の斧
Karui Axe,カルイの斧
Siege Axe,シージアックス
Reaver Axe,略奪者の斧
Butcher Axe,屠殺の斧
Jade Hatchet,翡翠のハチェット
Vaal Hatchet,ヴァールの斧
Royal Axe,王者の斧
Infernal Axe,地獄の斧
Boarding Axe,ボーディングアックス
Cleaver,クリーバー
Broad Axe,まさかり
Arming Axe,軍隊の斧
Decorative Axe,装飾の斧
Spectral Axe,霊体の斧
Jasper Axe,碧玉の斧
Etched Hatchet,エッチングハチェット
Engraved Hatchet,エングレービングハチェット
Runic Hatchet,ルーンハチェット
Driftwood Club,流木のこん棒
Barbed Club,トゲのこん棒
Rock Breaker,ロックブレーカー
Battle Hammer,バトルハンマー
Flanged Mace,フランジメイス
Ornate Mace,装飾メイス
Phantom Mace,ファントムメイス
Ancestral Club,祖先のこん棒
Tenderizer,テンダライザー
Gavel,ガベル
Legion Hammer,軍隊のハンマー
Tribal Club,部族のこん棒
Pernarch,Pernarch
Auric Mace,黄金のメイス
Nightmare Mace,ナイトメアメイス
Spiked Club,トゲ付きの棍棒
Stone Hammer,ストーンハンマー
War Hammer,ウォーハンマー
Bladed Mace,刃付きメイス
Ceremonial Mace,儀式用メイス
Dream Mace,ドリームメイス
Petrified Club,石のこん棒
Wyrm Mace,ワームメイス
Dragon Mace,ドラゴンメイス
Behemoth Mace,ベヒモスメイス
Driftwood Sceptre,流木のセプター
Sekhem,セイキム
Crystal Sceptre,水晶のセプター
Lead Sceptre,鉛のセプター
Blood Sceptre,血のセプター
Royal Sceptre,王者のセプター
Abyssal Sceptre,深淵のセプター
Karui Sceptre,カルイのセプター
Tyrant's Sekhem,暴君のセイキム
Opal Sceptre,オパールのセプター
Platinum Sceptre,プラチナのセプター
Darkwood Sceptre,ダークウッドのセプター
Vaal Sceptre,ヴァールセプター
Carnal Sceptre,カーナルセプター
Void Sceptre,虚無のセプター
Bronze Sceptre,青銅のセプター
Quartz Sceptre,石英のセプター
Iron Sceptre,鉄のセプター
Ochre Sceptre,黄土のセプター
Ritual Sceptre,儀式用セプター
Shadow Sceptre,闇のセプター
Grinning Fetish,綻ぶ呪物
Horned Sceptre,角のセプター
Stag Sceptre,牡鹿のセプター
Sambar Sceptre,水鹿のセプター
Rusted Sword,錆びた剣
Cutlass,カットラス
Baselard,バーゼラルド
Battle Sword,バトルソード
Elder Sword,長老の剣
Graceful Sword,優雅な剣
Twilight Blade,トワイライトブレード
Gemstone Sword,原石の剣
Corsair Sword,コルセアソード
Gladius,グラディウス
Legion Sword,リージョンソード
Copper Sword,銅の剣
Vaal Blade,ヴァールの剣
Eternal Sword,永遠の剣
Midnight Blade,ミッドナイトブレード
Sabre,サーベル
Broad Sword,大剣
War Sword,ウォーソード
Ancient Sword,エンシェントソード
Elegant Sword,豪華な剣
Dusk Blade,ダスクブレード
Variscite Blade,バリサイトの剣
Charan's Sword,チャランの剣
Hook Sword,フックソード
Grappler,グラップラー
Tiger Hook,タイガーフック
Rusted Spike,錆びたスパイク
Burnished Foil,磨かれたフルーレ
Estoc,エストック
Serrated Foil,ノコギリ歯のフルーレ
Primeval Rapier,太古のレイピア
Fancy Foil,装飾されたレイピア
Apex Rapier,切っ先のレイピア
Dragonbone Rapier,竜骨のレイピア
Tempered Foil,強化フルーレ
Pecoraro,ペコラーロ
Spiraled Foil,スパイラルフルーレ
Whalebone Rapier,鯨骨のレイピア
Vaal Rapier,ヴァールレイピア
Jewelled Foil,煌めくフルーレ
Harpy Rapier,ハーピーレイピア
Battered Foil,ボロボロのフルーレ
Basket Rapier,バスケットヒルトレイピア
Jagged Foil,ギザギザのフルーレ
Antique Rapier,アンティークレイピア
Elegant Foil,豪華なフルーレ
Thorn Rapier,トゲのレイピア
Wyrmbone Rapier,ワームボーンレイピア
Smallsword,短剣
Courtesan Sword,娼婦の剣
Dragoon Sword,ドラグーンソード
Driftwood Wand,流木のワンド
Serpent Wand,Serpent Wand
Omen Wand,前兆のワンド
Demon's Horn,悪魔の角
Imbued Wand,浸潤のワンド
Opal Wand,オパールのワンド
Tornado Wand,竜巻のワンド
Prophecy Wand,預言のワンド
Goat's Horn,ヤギの角
Carved Wand,カーブワンド
Quartz Wand,石英のワンド
Spiraled Wand,スパイラルワンド
Sage Wand,賢者のワンド
Faun's Horn,ファウヌスの角
Engraved Wand,エングレービングワンド
Crystal Wand,クリスタルワンド
Convoking Wand,召集のワンド
Pagan Wand,異教徒のワンド
Heathen Wand,不信心のワンド
Profane Wand,冒涜のワンド
Fishing Rod,釣り竿
Crude Bow,粗雑な弓
Decurve Bow,湾曲の弓
Compound Bow,コンパウンドボウ
Sniper Bow,狙撃手の弓
Ivory Bow,象牙の弓
Highborn Bow,貴族の弓
Decimation Bow,殺戮の弓
Thicket Bow,茂みの弓
Citadel Bow,シタデルボウ
Ranger Bow,レンジャーボウ
Assassin Bow,アサシンボウ
Short Bow,ショートボウ
Spine Bow,背骨の弓
Imperial Bow,帝国の弓
Harbinger Bow,ハービンジャーボウ
Long Bow,ロングボウ
Composite Bow,コンポジットボウ
Recurve Bow,リカーブボウ
Bone Bow,骨の弓
Royal Bow,王者の弓
Death Bow,死の弓
Grove Bow,木立の弓
Reflex Bow,リフレックスボウ
Steelwood Bow,鋼木の弓
Maraketh Bow,マラケスボウ
Gnarled Branch,ねじれた枝
Military Staff,ミリタリースタッフ
Serpentine Staff,蛇のスタッフ
Highborn Staff,貴族のスタッフ
Foul Staff,ファウルスタッフ
Primordial Staff,原始のスタッフ
Lathi,ラシィ
Ezomyte Staff,エゾマイトスタッフ
Maelström Staff,メールストロームスタッフ
Imperial Staff,インペリアルスタッフ
Judgement Staff,ジャッジメントスタッフ
Primitive Staff,素朴な杖
Long Staff,ロングスタッフ
Iron Staff,アイアンスタッフ
Coiled Staff,渦巻のスタッフ
Royal Staff,王者のスタッフ
Vile Staff,ヴァイルスタッフ
Woodful Staff,木製スタッフ
Quarterstaff,クォータースタッフ
Crescent Staff,クレセントスタッフ
Moon Staff,ムーンスタッフ
Eclipse Staff,エクリプススタッフ
Stone Axe,石斧
Headsman Axe,首長の斧
Labrys,ラブリス
Noble Axe,貴族の斧
Abyssal Axe,アビスアックス
Karui Chopper,カルイの大斧
Sundering Axe,切断の斧
Ezomyte Axe,エゾマイトアックス
Vaal Axe,ヴァールアックス
Despot Axe,暴君の斧
Void Axe,ヴォイドアックス
Jade Chopper,翡翠の大斧
Woodsplitter,ウッドスプリッター
Poleaxe,ポールアックス
Double Axe,ダブルアックス
Gilded Axe,金メッキの斧
Shadow Axe,シャドウアックス
Jasper Chopper,碧玉の大斧
Timber Axe,薪割りの斧
Dagger Axe,ダガーアックス
Talon Axe,タロンアックス
Fleshripper,フレッシュリッパー
Driftwood Maul,流木の大鎚
Steelhead,スチールヘッド
Spiny Maul,トゲの大鎚
Plated Maul,金メッキの大鎚
Dread Maul,脅威の大鎚
Karui Maul,カルイの大鎚
Colossus Mallet,巨大な大鎚
Piledriver,パイルドライバー
Meatgrinder,ミートグラインダー
Imperial Maul,帝国の大鎚
Terror Maul,畏怖の大鎚
Tribal Maul,部族の大鎚
Mallet,マレット
Sledgehammer,スレッジハンマー
Jagged Maul,ギザギザの大鎚
Brass Maul,真鍮の大鎚
Fright Maul,恐怖の大鎚
Totemic Maul,トーテムの大鎚
Great Mallet,グレートマレット
Morning Star,モーニングスター
Solar Maul,太陽の大鎚
Coronal Maul,宝冠の大鎚
Corroded Blade,錆びた刃
Highland Blade,ハイランドソード
Engraved Greatsword,エングレービンググレートソード
Tiger Sword,タイガーソード
Wraith Sword,レイスソード
Headman's Sword,首長の剣
Reaver Sword,略奪者の剣
Ezomyte Blade,エゾマイトの刃
Vaal Greatsword,ヴァールグレートソード
Lion Sword,ライオンソード
Infernal Sword,インファーナルソード
Longsword,ロングソード
Bastard Sword,バスタードソード
Two-Handed Sword,ツーハンドソード
Etched Greatsword,エッチンググレートソード
Ornate Sword,装飾された剣
Spectral Sword,スペクトラルソード
Butcher Sword,肉屋の剣
Footman Sword,従者の剣
Curved Blade,湾曲した刃
Lithe Blade,しなやかな刃
Exquisite Blade,精巧な刃
Shadow Fangs,シャドウファング
Malign Fangs,マラインファング
Void Fangs,ヴォイドファング
Hollowpoint Dagger,ホローポイントダガー
Pressurised Dagger,加圧のダガー
Pneumatic Dagger,空圧のダガー
Ethereal Blade,イシリアルブレード
Assembler Wand,寄集のワンド
Congregator Wand,収集のワンド
Accumulator Wand,蓄積のワンド
Golden Blade,ゴールデンブレード
Fickle Spiritblade,移り気な精霊の剣
Capricious Spiritblade,気まぐれな精霊の剣
Anarchic Spiritblade,無秩序な精霊の剣
Maltreatment Axe,虐待の斧
Disapprobation Axe,不服の斧
Psychotic Axe,精神病者の斧
Pernach,ペルナッハ
Flare Mace,鳴動のメイス
Crack Mace,爆音のメイス
Boom Mace,轟音のメイス
Hedron Bow,ヘドロンボウ
Foundry Bow,ファウンドリーボウ
Solarine Bow,ソラリンボウ
Transformer Staff,変化のスタッフ
Reciprocation Staff,相互変換のスタッフ
Battery Staff,バッテリースタッフ
Keyblade,キーブレード
Rebuking Blade,非難の刃
Blasting Blade,叱責の刃
Banishing Blade,追放の刃
Prime Cleaver,良質なクリーバー
Honed Cleaver,鋭利なクリーバー
Apex Cleaver,切っ先のクリーバー
Blunt Force Condenser,殴打のコンデンサー
Crushing Force Magnifier,粉砕のマグニファイヤー
Impact Force Propagator ,衝撃のプロパゲーター
Oscillating Sceptre,振動のセプター
Stabilising Sceptre,平衡のセプター
Alternating Sceptre,置換のセプター
Flickerflame Blade,明滅の刃
Flashfire Blade,閃光の刃
Infernal Blade,業火の刃
Capacity Rod,能力のロッド
Potentiality Rod,潜在力のロッド
Eventuality Rod,偶発性のロッド
Energy Blade,エナジーブレード
Calling Wand,呼集のワンド
Convening Wand,招来のワンド
Impact Force Propagator,衝撃のプロパゲーター
The Screaming Eagle,The Screaming Eagle
Soul Taker,Soul Taker
Dyadus,Dyadus
Chin Sol,Chin Sol
Darkscorn,Darkscorn
Death's Harp,死の竪琴
Infractem,Infractem
Lioneye's Glare,ライオンアイの睥睨
Quill Rain,針の雨
Silverbranch,Silverbranch
Storm Cloud,Storm Cloud
Voltaxic Rift,ボルタキシック・リフト
Windripper,Windripper
Al Dhih,Al Dhih
Bloodseeker,Bloodseeker
Cybil's Paw,Cybil's Paw
Essentia Sanguis,エッセンシア・サングイス
Last Resort,Last Resort
Mortem Morsu,Mortem Morsu
Bino's Kitchen Knife,Bino's Kitchen Knife
Divinarius,Divinarius
Heartbreaker,Heartbreaker
Mightflay,Mightflay
Ungil's Gauche,Ungil's Gauche
Brightbeak,Brightbeak
Doon Cuebiyari,Doon Cuebiyari
Mjölner,ミョルナー
Mon'tregul's Grasp,Mon'tregul's Grasp
Nycta's Lantern,Nycta's Lantern
The Supreme Truth,The Supreme Truth
Doryani's Catalyst,Doryani's Catalyst
Aurumvorax,Aurumvorax
Ephemeral Edge,Ephemeral Edge
The Goddess Bound,The Goddess Bound
The Goddess Scorned,The Goddess Scorned
Prismatic Eclipse,Prismatic Eclipse
Rebuke of the Vaal,Rebuke of the Vaal
Redbeak,Redbeak
Dying Breath,Dying Breath
Fencoil,Fencoil
Pillar of the Caged God,囚われた神の柱
The Searing Touch,焼けつく手触り
Taryn's Shiver,テアレンの震え
Lifesprig,ライフスプリッグ
Midnight Bargain,Midnight Bargain
Moonsorrow,Moonsorrow
Void Battery,Void Battery
Song of the Sirens,Song of the Sirens
Atziri's Disfavour,Atziri's Disfavour
The Blood Reaper,The Blood Reaper
Kaom's Primacy,Kaom's Primacy
Limbsplit,Limbsplit
Reaper's Pursuit,Reaper's Pursuit
Wideswing,Wideswing
Wings of Entropy,Wings of Entropy
Chober Chaber,チョーバー・チェバー
Geofri's Baptism,Geofri's Baptism
Hrimnor's Hymn,フリムノーの聖歌
Kongor's Undying Rage,Kongor's Undying Rage
Marohi Erqi,マロヒ・エルキ
Quecholli,ケチョーリ
Voidhome,Voidhome
Oro's Sacrifice,Oro's Sacrifice
Queen's Decree,Queen's Decree
Rigwald's Charge,リグワルドの突撃
Shiversting,Shiversting
Terminus Est,Terminus Est
Doomfletch,ドゥームフレッチ
Hyaon's Fury,Hyaon's Fury
Pledge of Hands,Pledge of Hands
Piscator's Vigil,Piscator's Vigil
Edge of Madness,Edge of Madness
Dreamfeather,Dreamfeather
Apep's Rage,Apep's Rage
Hegemony's Era,Hegemony's Era
Mark of the Doubting Knight,Mark of the Doubting Knight
The Dark Seer,The Dark Seer
The Harvest,The Harvest
Agnerod East,Agnerod East
Agnerod North,Agnerod North
Doomsower,Doomsower
Brutus' Lead Sprinkler,Brutus' Lead Sprinkler
Reverberation Rod,Reverberation Rod
The Blood Thorn,血の棘
Blood of Summer,Blood of Summer
Rust of Winter,Rust of Winter
Ashes of the Sun,Ashes of the Sun
Splinter of the Moon,Splinter of the Moon
Thunder of the Dawn,Thunder of the Dawn
Vestige of Divinity,Vestige of Divinity
Fragment of Eternity,Fragment of Eternity
Relic of the Cycle,Relic of the Cycle
Scar of Fate,Scar of Fate
The Whispering Ice,囁く氷
The Consuming Dark,The Consuming Dark
Sire of Shards,欠片の主権
Null's Inclination,Null's Inclination
Twyzel,Twyzel
Tremor Rod,Tremor Rod
Relentless Fury,Relentless Fury
Ichimonji,Ichimonji
Fairgraves' Bearing,Fairgraves' Bearing
Fidelitas' Spike,Fidelitas' Spike
Callinellus Malleus,Callinellus Malleus
Gorebreaker,Gorebreaker
Lavianga's Wisdom,Lavianga's Wisdom
Lakishu's Blade,Lakishu's Blade
Flesh-Eater,Flesh-Eater
The Stormheart,The Stormheart
The Princess,The Princess
Moonbender's Wing,Moonbender's Wing
Dreadarc,Dreadarc
Wildslash,Wildslash
Realmshaper,Realmshaper
Abberath's Horn,Abberath's Horn
Bloodplay,Bloodplay
Goredrill,Goredrill
Kingmaker,Kingmaker
Death's Hand,Death's Hand
The Goddess Unleashed,解放された女神
"Jack, the Axe",斧のジャック
Stormblast,Stormblast
Bartek's Finger,Bartek's Finger
Boreal Shepherd,Boreal Shepherd
Celestial Fragment,Celestial Fragment
Leviathan Ivory,Leviathan Ivory
Ornament of the East,Ornament of the East
Jorrhast's Blacksteel,Jorrhast's Blacksteel
Cameria's Maul,Cameria's Maul
Agnerod South,Agnerod South
Spine of the First Claimant,Spine of the First Claimant
Izaro's Dilemma,Izaro's Dilemma
Chitus' Needle,Chitus' Needle
Allure,Allure
Hezmana's Bloodlust,Hezmana's Bloodlust
Roth's Reach,Roth's Reach
Femurs of the Saints,Femurs of the Saints
Obliteration,Obliteration
Iron Commander,Iron Commander
Storm Prison,Storm Prison
Eclipse Solaris,Eclipse Solaris
Disjunction,Disjunction
Singularity,Singularity
Bitterdream,Bitterdream
Rigwald's Savagery,Rigwald's Savagery
Rigwald's Command,Rigwald's Command
Agnerod West,Agnerod West
Advancing Fortress,Advancing Fortress
Daresso's Passion,ダレッソの熱情
Varunastra,Varunastra
Clayshaper,Clayshaper
Rive,Rive
Nuro's Harp,Nuro's Harp
Reefbane,Reefbane
Axiom Perpetuum,Axiom Perpetuum
Widowmaker,Widowmaker
Trypanon,Trypanon
Frostbreath,フロストブレス
The Tempestuous Steel,The Tempestuous Steel
Xirgil's Crank,Xirgil's Crank
The Dancing Dervish,The Dancing Dervish
Touch of Anguish,Touch of Anguish
Ashcaller,Ashcaller
Death's Opus,Death's Opus
Hiltless,Hiltless
Doomfletch's Prism,Doomfletch's Prism
Silverbough,Silverbough
Hrimnor's Dirge,Hrimnor's Dirge
The Tempest,The Tempest
Amplification Rod,Amplification Rod
Realm Ender,Realm Ender
Queen's Escape,Queen's Escape
The Gryphon,The Gryphon
The Cauteriser,The Cauteriser
Scaeva,Scaeva
Innsbury Edge,Innsbury Edge
Breath of the Council,Breath of the Council
Reach of the Council,Reach of the Council
Ewar's Mirage,Ewar's Mirage
Kondo's Pride,Kondo's Pride
Slivertongue,スリヴァータン
Brain Rattler,脳揺らし
Razor of the Seventh Sun,Razor of the Seventh Sun
Cospri's Malice,Cospri's Malice
The Scourge,The Scourge
Starforge,Starforge
Tulfall,Tulfall
Xoph's Nurture,Xoph's Nurture
Ngamahu's Flame,Ngamahu's Flame
Tulborn,Tulborn
Shade of Solaris,Shade of Solaris
Xoph's Inception,Xoph's Inception
Hand of Thought and Motion,Hand of Thought and Motion
Hand of Wisdom and Action,知恵と行動の手
Uul-Netol's Kiss,Uul-Netol's Kiss
Uul-Netol's Embrace,ウール・ネトルの抱擁
Severed in Sleep,Severed in Sleep
United in Dream,United in Dream
Arakaali's Fang,Arakaali's Fang
Duskdawn,Duskdawn
Kitava's Feast,Kitava's Feast
Felltooth,Felltooth
Tidebreaker,タイドブレーカー
Martyr of Innocence,Martyr of Innocence
Ahn's Might,Ahn's Might
Mordhau,Mordhau
Pagan Geis,Pagan Geis
The Enmity Divine,The Enmity Divine
The Rippling Thoughts,The Rippling Thoughts
The Wasp Nest,The Wasp Nest
Debeon's Dirge,Debeon's Dirge
Taproot,Taproot
Borrowed Power,Borrowed Power
Bloodletter,Bloodletter
Galla's Riposte,Galla's Riposte
Cane of Unravelling,Cane of Unravelling
The Poet's Pen,The Poet's Pen
Arborix,Arborix
White Wind,White Wind
Vulconus,Vulconus
Beltimber Blade,Beltimber Blade
Grelwood Shank,Grelwood Shank
Augyre,Augyre
Shimmeron,Shimmeron
Hopeshredder,Hopeshredder
Nebuloch,ネブロック
Balefire,Balefire
Oni-Goroshi,Oni-Goroshi
Panquetzaliztli,Panquetzaliztli
Disintegrator,Disintegrator
Cameria's Avarice,Cameria's Avarice
The Stormwall,The Stormwall
The Dancing Duo,The Dancing Duo
Voidforge,Voidforge
Mirebough,Mirebough
Dreadbeak,Dreadbeak
Dreadsurge,Dreadsurge
Geofri's Devotion,Geofri's Devotion
Sanguine Gambol,Sanguine Gambol
Corona Solaris,Corona Solaris
Story of the Vaal,Story of the Vaal
Fate of the Vaal,Fate of the Vaal
Earendel's Embrace,Earendel's Embrace
Sinvicta's Mettle,Sinvicta's Mettle
The Grey Spire,The Grey Spire
Cerberus Limb,Cerberus Limb
Soulwrest,Soulwrest
Chaber Cairn,Chaber Cairn
The Crimson Storm,The Crimson Storm
Paradoxica,Paradoxica
Nebulis,Nebulis
Sign of the Sin Eater,Sign of the Sin Eater
Cold Iron Point,Cold Iron Point
The Black Cane,The Black Cane
The Saviour,The Saviour
Stillwater,Stillwater
The Surging Thoughts,The Surging Thoughts
The Yielding Mortality,The Yielding Mortality
Witchhunter's Judgment,魔女狩りの審判
Law of the Wilds,Law of the Wilds
Replica Iron Commander,Replica Iron Commander
Actum,Actum
Replica Bitterdream,Replica Bitterdream
The Iron Mass,The Iron Mass
Replica Soul Taker,Replica Soul Taker
Replica Harvest,Replica Harvest
Replica Quill Rain,Replica Quill Rain
Replica Windripper,Replica Windripper
Replica Bloodplay,Replica Bloodplay
Replica Ungil's Gauche,Replica Ungil's Gauche
Replica Cold Iron Point,Replica Cold Iron Point
Replica Paradoxica,Replica Paradoxica
Replica Tempestuous Steel,Replica Tempestuous Steel
Replica Innsbury Edge,Replica Innsbury Edge
Replica Last Resort,Replica Last Resort
Replica Heartbreaker,Replica Heartbreaker
Replica Dreamfeather,Replica Dreamfeather
Replica Earendel's Embrace,Replica Earendel's Embrace
Replica Oro's Sacrifice,Replica Oro's Sacrifice
Replica Tulfall,Replica Tulfall
Replica Blood Thorn,Replica Blood Thorn
Replica Advancing Fortress,Replica Advancing Fortress
Replica Allure,Replica Allure
Replica Frostbreath,Replica Frostbreath
Replica Trypanon,Replica Trypanon
Replica Duskdawn,Replica Duskdawn
Replica Fencoil,Replica Fencoil
Replica Twyzel,Replica Twyzel
Replica Midnight Bargain,Replica Midnight Bargain
Replica Kongor's Undying Rage,Replica Kongor's Undying Rage
Replica Nebulis,Replica Nebulis
Replica Wings of Entropy,Replica Wings of Entropy
Replica Infractem,Replica Infractem
The Hidden Blade,The Hidden Blade
The Fulcrum,The Fulcrum
Demigod's Authority,Demigod's Authority
Goblinedge,Goblinedge
Cane of Kulemak,クーラマクの杖
Atziri's Rule,アッツィリの統治
Yaomac's Accord,Yaomac's Accord
Relic of the Pact,Relic of the Pact
The Annihilating Light,The Annihilating Light
The Gluttonous Tide,The Gluttonous Tide
