Enemy Physical Damage reduction:,Enemy Physical Damage reduction:
'Armoured','Armoured'
20% (Low tier),20% (Low tier)
30% (Mid tier),30% (Mid tier)
40% (High tier),40% (High tier)
Enemy is Hexproof?,Enemy is Hexproof?
'Hexproof','Hexproof'
Less effect of Curses on enemy:,Less effect of Curses on enemy:
'Hexwarded','Hexwarded'
25% (Low tier),25% (Low tier)
40% (Mid tier),40% (Mid tier)
60% (High tier),60% (High tier)
Enemy has Elemental / Chaos Resist:,Enemy has Elemental / Chaos Resist:
'Resistant','Resistant'
20% / 15% (Low tier),20% / 15% (Low tier)
30% / 20% (Mid tier),30% / 20% (Mid tier)
40% / 25% (High tier),40% / 25% (High tier)
Player has Elemental Equilibrium?,Player has Elemental Equilibrium?
'of Balance','of Balance'
Cannot Leech Life / Mana?,Cannot Leech Life / Mana?
'of Congealment','of Congealment'
Gains reduced Flask Charges:,Gains reduced Flask Charges:
'of Drought','of Drought'
30% (Low tier),30% (Low tier)
50% (High tier),50% (High tier)
-X% maximum Resistances:,-X% maximum Resistances:
'of Exposure','of Exposure'
Mid tier: 5-8%,Mid tier: 5-8%
High tier: 9-12%,High tier: 9-12%
Less Area of Effect:,Less Area of Effect:
'of Impotence','of Impotence'
15% (Low tier),15% (Low tier)
20% (Mid tier),20% (Mid tier)
25% (High tier),25% (High tier)
Enemy avoid Elemental Ailments:,Enemy avoid Elemental Ailments:
'of Insulation','of Insulation'
50% (Mid tier),50% (Mid tier)
70% (High tier),70% (High tier)
Enemy avoid Poison and Bleed:,Enemy avoid Poison and Bleed:
'Impervious','Impervious'
35% (Mid tier),35% (Mid tier)
65% (High tier),65% (High tier)
Unlucky Dodge / Enemy has inc. Accuracy:,Unlucky Dodge / Enemy has inc. Accuracy:
'of Miring','of Miring'
Reduced Block Chance / less Armour:,Reduced Block Chance / less Armour:
'of Rust','of Rust'
20% / 20% (Low tier),20% / 20% (Low tier)
30% / 25% (Mid tier),30% / 25% (Mid tier)
40% / 30% (High tier),40% / 30% (High tier)
Player has Point Blank?,Player has Point Blank?
'of Skirmishing','of Skirmishing'
Less Recovery Rate of Life and Energy Shield:,Less Recovery Rate of Life and Energy Shield:
'of Smothering','of Smothering'
"Cannot Regen Life, Mana or ES?","Cannot Regen Life, Mana or ES?"
'of Stasis','of Stasis'
Enemy takes red. Extra Crit Damage:,Enemy takes red. Extra Crit Damage:
'of Toughness','of Toughness'
Low tier: 25-30%,Low tier: 25-30%
Mid tier: 31-35%,Mid tier: 31-35%
High tier: 36-40%,High tier: 36-40%
