Cospri's Malice,Cospri's Malice
Ahkeli's Meadow,Ahkeli's Meadow
Ahkeli's Mountain,Ahkeli's Mountain
Ahkeli's Valley,Ahkeli's Valley
Ashes of the Stars,Ashes of the Stars
Ashes of the Sun,Ashes of the Sun
Andvarius,アンドヴァリアス
Angler's Plait,Angler's Plait
Araku Tiki,Araku Tiki
Ascent From Flesh,Ascent From Flesh
Astramentis,アストラメンティス
Atziri's Foible,Atziri's Foible
Aul's Uprising,Aul's Uprising
Auxium,Auxium
Badge of the Brotherhood,Badge of the Brotherhood
Bated Breath,Bated Breath
Belt of the Deceiver,Belt of the Deceiver
Berek's Grip,Berek's Grip
Berek's Pass,Berek's Pass
Berek's Respite,Berek's Respite
Bisco's Collar,Bisco's Collar
Bisco's Leash,Bisco's Leash
Blackheart,ブラックハート
Blightwell,Blightwell
Bloodboil,Bloodboil
Bloodgrip,Bloodgrip
Blood of Corruption,Blood of Corruption
Brinerot Mark,Brinerot Mark
Call of the Brotherhood,兄弟の証
Carnage Heart,カーネイジ・ハート
Choir of the Storm,嵐の合唱
Circle of Anguish,Circle of Anguish
Circle of Fear,Circle of Fear
Circle of Guilt,Circle of Guilt
Circle of Nostalgia,Circle of Nostalgia
Circle of Regret,Circle of Regret
Coward's Chains,Coward's Chains
Coward's Legacy,臆病者の遺産
Cyclopean Coil,Cyclopean Coil
Daresso's Salute,Daresso's Salute
Darkness Enthroned,即位した闇
Death Rush,死の激発
Demigod's Bounty,Demigod's Bounty
Demigod's Eye,Demigod's Eye
Demigod's Presence,Demigod's Presence
Doedre's Damning,ドードゥリの糾弾
Doryani's Invitation,Doryani's Invitation
Dream Fragments,夢の断片
Dyadian Dawn,Dyadian Dawn
Emberwake,Emberwake
Essence Worm,Essence Worm
Extractor Mentis,Extractor Mentis
Eye of Chayula,チャユラの目
Eye of Innocence,Eye of Innocence
Eyes of the Greatwolf,Eyes of the Greatwolf
Faminebind,Faminebind
Feastbind,Feastbind
Gifts from Above,天の恩恵
Gloomfang,Gloomfang
Gluttony,Gluttony
Hallowed Ground,Hallowed Ground
Headhunter,ヘッドハンター
