Strength,筋力
Dexterity,器用さ
Intelligence,知性
Energy Shield,エナジーシールド
Armour,アーマー
Fire Resistance,火耐性
Cold Resistance,冷気耐性
Lightning Resistance,雷耐性
Chaos Resistance,混沌耐性
Slayer,Slayer
Gladiator,グラディエーター
Champion,チャンピオン
Assassin,アサシン
Saboteur,サボター
Trickster,トリックスター
Juggernaut,ジャガーノート
Berserker,バーサーカー
Chieftain,チーフテン
Occultist,オカルティスト
Elementalist,エレメンタリスト
Deadeye,デッドアイ
Raider,Raider
Pathfinder,パスファインダー
Inquisitor,インクイジター
Hierophant,ハイロファント
Guardian,ガーディアン
Ascendant,超越した
Evasion,回避
Lightning Walker,雷を行く者
Fire Walker,火を行く者
Frost Walker,霜を行く者
Elemental Damage,元素ダメージ
Two Handed Melee Damage and Attack Speed,両手武器近接ダメージおよびアタックスピード
Wrecking Ball,鋼球
Executioner,処刑人
Two Handed Melee Damage,両手武器近接ダメージ
Two Handed Melee Damage and Area of Effect,両手武器近接ダメージおよび効果範囲
Two Hand Mastery,両手武器マスタリー
Lava Lash,ラヴァラッシュ
Weapon Fire Damage,武器火ダメージ
Path of the Hunter,狩人の道
Life and Armour,ライフおよびアーマー
Life Regeneration,ライフ自動回復
Butchery,屠殺
One Handed Melee Damage,片手武器近接ダメージ
Strong Arm,剛腕
Melee Damage,近接ダメージ
Attack Speed,アタックスピード
Energy Shield and Recovery,エナジーシールド・回復
Minion Attack and Cast Speed,ミニオンアタック・キャストスピード
Shield Block and Block Recovery,盾ブロックおよびブロック回復
Testudo,テストゥード
Shield Defences,盾防御力
Shield Mastery,盾マスタリー
Block Chance and Attack Damage with Shield,ブロック率および盾装備時アタックダメージ
Attack Damage and Attack Speed with Shield,盾装備時アタックダメージおよびアタックスピード
Retaliation,報復
Staff Attack Speed and Accuracy,スタッフアタックスピードおよび命中
Ophidian Aim,Ophidian Aim
Staff Mastery,スタッフマスタリー
DUELIST,デュエリスト
Attack Speed and Accuracy,アタックスピードおよび命中
Physical Attack Damage and Life,物理アタックダメージおよびライフ
Two Handed Melee Damage and Leech,両手武器近接ダメージおよびリーチ
Two Handed Melee Damage and Life Leech Speed,両手武器近接ダメージおよびライフリーチスピード
Martial Experience,戦闘経験
Mana Mastery,マナマスタリー
Life and Mana Leech,ライフ・マナリーチ
Spirit Void,空虚な精神
Vitality Void,空虚な活力
Totem and Brand Damage,トーテム・ブランドダメージ
Totem Placement Speed and Brand Range,トーテム設置スピードおよびブランド範囲
"Totem Life and Elemental Resistances, Brand Range","Totem Life and Elemental Resistances, Brand Range"
"Totem Attack and Cast Speed, Brand Frequency","Totem Attack and Cast Speed, Brand Frequency"
Totem Mastery,トーテムマスタリー
Lord of the Dead,死の支配者
Arcing Blows,放電攻撃
Weapon Lightning Damage,武器雷ダメージ
Crackling Speed,クラックリングスピード
Lightning Mastery,雷マスタリー
Totem Life and Placement Speed,トーテムライフ・設置スピード
Ironwood,鉄木
"Totem Damage, Attack and Cast Speed","Totem Damage, Attack and Cast Speed"
Totem Life and Elemental Resistances,トーテムライフ・元素耐性
Mana and Reduced Mana Cost,マナおよびマナコスト低下
Righteous Decree,正しき法
"Staff Block, Attack and Cast Speed","Staff Block, Attack and Cast Speed"
Whirling Barrier,ワーリングバリア
Smashing Strikes,スマッシュストライク
Staff Damage and Stun Duration,スタッフダメージおよびスタン持続時間
Staff Critical Strike Chance,スタッフクリティカル率
Counterweight,カウンターウエイト
Shield Spell Block and Elemental Resistances with a Shield,盾スペルブロックおよび盾装備時元素耐性
Sanctuary,Sanctuary
Shield Block and Defences,Shield Block and Defences
Curse Duration,呪い持続時間
Curse Effect,呪い効果
Hex Master,ヘックスマスター
Curse Mastery,呪いマスタリー
Diamond Skin,ダイヤモンドスキン
Armour and Elemental Resistances,アーマーおよび元素耐性
Elemental Resistance,元素耐性
Solidity,Solidity
Mana,マナ
Mana and Arcane Surge Effect,マナおよびアーケインサージ効果
Mana and Mana Regeneration,マナおよびマナ自動回復
Arcane Capacitor,アーケインコンデンサー
Sword Damage and Bleed Chance,Sword Damage and Bleed Chance
Sword Damage and Attack Speed,剣ダメージおよびアタックスピード
Blade Master,ブレイドマスター
Sword Damage and Ailment Damage,Sword Damage and Ailment Damage
Razor's Edge,レイザーエッジ
Sword Damage,剣ダメージ
Sword Mastery,剣マスタリー
Minion and Damage Mastery,Minion and Damage Mastery
Minion Damage and Duration,ミニオンダメージおよび持続時間
"Minion Duration, Attack and Cast Speed","Minion Duration, Attack and Cast Speed"
Enduring Bond,永続する絆
Minion Life and Elemental Resistances,ミニオンライフおよびミニオン元素耐性
Minion Life and Physical Damage Reduction,ミニオンライフおよび物理ダメージ軽減
Indomitable Army,不屈の軍勢
Minion Mastery,ミニオンマスタリー
Axe Damage,斧ダメージ
Splitting Strikes,Splitting Strikes
Axe Mastery,斧マスタリー
Axe Damage and Area of Effect,Axe Damage and Area of Effect
Mace Damage and Reduced Enemy Stun Threshold,メイスダメージおよび敵スタン閾値低下
Mace Damage and Area of Effect,メイスダメージおよび効果範囲
Skull Cracking,頭蓋砕き
Mace Damage and Stun Duration,メイスダメージおよびスタン持続時間
Bone Breaker,ボーンブレイカー
Mace Damage,メイスダメージ
Mace Mastery,メイスマスタリー
Mace Damage and Attack Speed,メイスダメージおよびアタックスピード
Ribcage Crusher,リブケイジクラッシャー
Armour and Evasion,アーマーおよび回避力
"Armour, Evasion and Onslaught Effect",アーマー・回避力および猛攻効果
Graceful Assault,優雅な攻撃
Evasion Mastery,回避力マスタリー
"Attack Damage, Armour and Evasion","Attack Damage, Armour and Evasion"
Evasion and Accuracy,Evasion and Accuracy
Soul of Steel,鋼の心
"Shock Chance, Duration and Effect","Shock Chance, Duration and Effect"
Static Blows,静電攻撃
Shock Chance and Effect,Shock Chance and Effect
Damage and Critical Strike Chance against Shocked,ダメージおよび感電した敵へのクリティカル率
Elemental Damage Mastery,元素ダメージマスタリー
Physical and Lightning Damage,物理ダメージおよび雷ダメージ
Physical and Fire Damage,物理・火ダメージ
Physical and Elemental Damage,物理・元素ダメージ
Elemental Damage and Penetration,Elemental Damage and Penetration
"Elemental Damage, Ailment Effect and Burning Damage Multiplier","Elemental Damage, Ailment Effect and Burning Damage Multiplier"
Divine Judgement,神聖な判決
