(Inherent effects from having Rage are:,(Inherent effects from having Rage are:
1% increased Attack Damage per 1 Rage,1% increased Attack Damage per 1 Rage
1% increased Attack Speed per 2 Rage,1% increased Attack Speed per 2 Rage
1% increased Movement Speed per 5 Rage),1% increased Movement Speed per 5 Rage)
(Virulence is granted by the Herald of Agony Skill),(Virulence is granted by the Herald of Agony Skill)
(These are consecutive),(These are consecutive)
(Each Conflux means all damage causes that Ailment),(Each Conflux means all damage causes that Ailment)
(Tailwind increases Action Speed by 8%),(Tailwind increases Action Speed by 8%)
(Fortify grants 20% reduced Damage Taken from Hits),(Fortify grants 20% reduced Damage Taken from Hits)
"(When an Impaled enemy is hit, the Impale reflects 10% of the physical damage of the Impaling hit to that enemy. Impale lasts for 5 hits)","(When an Impaled enemy is hit, the Impale reflects 10% of the physical damage of the Impaling hit to that enemy. Impale lasts for 5 hits)"
