Gain a Power Charge after Spending a total of 200 Mana,マナを合計200消費した後にパワーチャージを1個獲得する
Projectiles Pierce 2 additional Targets,投射物は対象を追加で2体貫通する
Cannot be Stunned while you have at least 25 Rage,憤怒が25以上ある時にスタンを受けることがない
25% increased Lightning Damage,雷ダメージが25%増加する
5% increased Cast Speed with Lightning Skills,雷スキルのキャストスピードが5%増加する
+15% to Lightning Resistance,雷耐性 +15%
12% increased Lightning Damage,雷ダメージが12%増加する
12% increased Fire Damage,火ダメージが12%増加する
25% increased Fire Damage,火ダメージが25%増加する
5% increased Cast Speed with Fire Skills,火スキルのキャストスピードが5%増加する
+15% to Fire Resistance,火耐性 +15%
25% increased Cold Damage,冷気ダメージが25%増加する
5% increased Cast Speed with Cold Skills,冷気スキルのキャストスピードが5%増加する
+15% to Cold Resistance,冷気耐性 +15%
12% increased Cold Damage,冷気ダメージが12%増加する
+10 to Intelligence,知性 +10
10% increased Elemental Damage,元素ダメージが10%増加する
10% increased Physical Damage with Two Handed Melee Weapons,両手近接武器による物理ダメージが10%増加する
3% increased Attack Speed with Two Handed Melee Weapons,両手近接武器のアタックスピードが3%増加する
10% increased Damage with Ailments from Attack Skills while wielding a Two Handed Weapon,両手武器装備中はアタックスキルによる状態異常ダメージが10%増加する
10% increased Attack Speed with Two Handed Melee Weapons,両手近接武器のアタックスピードが10%増加する
20% increased Stun Duration with Two Handed Melee Weapons on Enemies,敵に対する両手近接武器によるスタンの持続時間が20%増加する
20% increased Damage with Two Handed Weapons,両手武器によるダメージが20%増加する
20% increased Damage with Ailments from Attack Skills while wielding a Two Handed Weapon,両手武器装備中はアタックスキルによる状態異常ダメージが20%増加する
24% increased Physical Damage with Two Handed Melee Weapons,両手近接武器による物理ダメージが24%増加する
50% increased Damage with Hits against Enemies that are on Low Life,低ライフ状態の敵に対するヒットダメージが50%増加する
8% increased Area of Effect if you've Killed Recently,直近プレイヤーが敵を倒していれば効果範囲が8%増加する
24% increased Damage with Ailments from Attack Skills while wielding a Two Handed Weapon,両手武器装備中はアタックスキルによる状態異常ダメージが24%増加する
14% increased Physical Damage with Two Handed Melee Weapons,両手近接武器による物理ダメージが14%増加する
14% increased Damage with Ailments from Attack Skills while wielding a Two Handed Weapon,両手武器装備中はアタックスキルによる状態異常ダメージが14%増加する
5% increased Area of Effect,効果範囲が5%増加する
Damage with Weapons Penetrates 8% Fire Resistance,武器によるダメージは火耐性の8%を貫通する
30% increased Fire Damage with Attack Skills,アタックスキルの火ダメージが30%増加する
12% increased Fire Damage with Attack Skills,アタックスキルの火ダメージが12%増加する
+20 to Accuracy Rating,命中力 +20
12% increased Projectile Damage,投射物ダメージが12%増加する
+20 to Dexterity,器用さ +20
+10 to Dexterity,器用さ +10
6% increased Armour,アーマーが6%増加する
4% increased maximum Life,最大ライフが4%増加する
12% increased Armour,アーマーが12%増加する
Regenerate 0.8% of Life per second,毎秒ライフの0.8%を自動回復する
12% increased Physical Damage with Two Handed Melee Weapons,両手近接武器による物理ダメージが12%増加する
